Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.1, Error, kappa, 0.0004430447473850, theta_a, 0.0000067169790158, theta_b, 0.6481771901897081, sigma, 0.0400944521415688
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 0.5, Error, kappa, 0.0008408401837207, theta_a, 0.0000044983517546, theta_b, 0.3909783351589337, sigma, 0.0000516408997136
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 1.0, Error, kappa, 0.0030402972440357, theta_a, 0.0000024557996881, theta_b, 0.9168870071697370, sigma, 0.0504425839658034
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 1e-05, theta_b, 2.0, Error, kappa, 0.0027879909223052, theta_a, 0.0000043156372621, theta_b, 0.0329671722816380, sigma, 0.1495892161331243
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-05, theta_b, 0.005, Error, kappa, 0.0004240455436769, theta_a, 0.0000027743488506, theta_b, 0.6490087720632193, sigma, 0.0493764508039034
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-05, theta_b, 0.01, Error, kappa, 0.0004083201573285, theta_a, 0.0000028471704276, theta_b, 0.6462575872785761, sigma, 0.0489354984081517
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-05, theta_b, 0.02, Error, kappa, 0.0003710720208266, theta_a, 0.0000030032636521, theta_b, 0.6314484293648978, sigma, 0.0479741414352038
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-05, theta_b, 0.05, Error, kappa, 0.0009998999813526, theta_a, 0.0000049150838014, theta_b, 0.6237656697559387, sigma, 0.0445955021770030
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-05, theta_b, 0.1, Error, kappa, 0.0002627968201853, theta_a, 0.0000035867611346, theta_b, 0.5957393359877363, sigma, 0.0399376530471556
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-05, theta_b, 0.5, Error, kappa, 0.0010683621731847, theta_a, 0.0000001802352034, theta_b, 0.9077342486003868, sigma, 0.0004140736253498
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-05, theta_b, 1.0, Error, kappa, 0.0009990271381255, theta_a, 0.0183047210031475, theta_b, 0.1000000000000000, sigma, 0.0493834358374728
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 5e-05, theta_b, 2.0, Error, kappa, 0.0019158253162108, theta_a, 0.0000037467282158, theta_b, 0.8419454439654389, sigma, 0.1495847050535315
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0001, theta_b, 0.005, Error, kappa, 0.0004141759616424, theta_a, 0.0000021936303505, theta_b, 0.6454919349532725, sigma, 0.0493800063423828
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0001, theta_b, 0.01, Error, kappa, 0.0004263018802558, theta_a, 0.0000022333856037, theta_b, 0.6504720468757552, sigma, 0.0489194192811652
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0001, theta_b, 0.02, Error, kappa, 0.0004075262237157, theta_a, 0.0000021721497061, theta_b, 0.6419657641525258, sigma, 0.0479600207484058
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0001, theta_b, 0.05, Error, kappa, 0.0005071765129648, theta_a, 0.0000026105527252, theta_b, 0.6641705851372381, sigma, 0.0450246811614995
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0001, theta_b, 0.1, Error, kappa, 0.0009998998099504, theta_a, 0.0000096524147591, theta_b, 0.6790916794835875, sigma, 0.0397609110533628
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0001, theta_b, 0.5, Error, kappa, 0.0009998998449969, theta_a, 0.0000099820332337, theta_b, 0.5742108216550822, sigma, 0.0002637670362997
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0001, theta_b, 1.0, Error, kappa, 0.0205075217354872, theta_a, 0.0000067424996058, theta_b, 0.0999999950569700, sigma, 0.0495168493535497
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0001, theta_b, 2.0, Error, kappa, 0.0157244565824702, theta_a, 0.0000092308587503, theta_b, 0.1428891885874105, sigma, 0.1501104427517847
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.005, Error, kappa, 0.0004150037129169, theta_a, 0.0000422372854884, theta_b, 0.6490410695642379, sigma, 0.0493764090397244
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.01, Error, kappa, 0.0004048208380219, theta_a, 0.0000421018834943, theta_b, 0.6461528421933775, sigma, 0.0489330784199618
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.02, Error, kappa, 0.0004113776509655, theta_a, 0.0000421255240504, theta_b, 0.6473159537010317, sigma, 0.0479730153819998
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.05, Error, kappa, 0.0004322697139412, theta_a, 0.0000425010662952, theta_b, 0.6263323420368437, sigma, 0.0450201555007559
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.1, Error, kappa, 0.0009998998957732, theta_a, 0.0000499628744824, theta_b, 0.6123080058496646, sigma, 0.0397785363143718
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 0.5, Error, kappa, 0.0014960184394163, theta_a, 0.0000458315670001, theta_b, 0.4330882552380458, sigma, 0.0004428126929537
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 1.0, Error, kappa, 0.0094772897355888, theta_a, 0.0000498029043440, theta_b, 0.7967122135106214, sigma, 0.0504785843075978
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.0005, theta_b, 2.0, Error, kappa, 0.0041182096482033, theta_a, 0.0000469242090215, theta_b, 0.3146934514708642, sigma, 0.1519257058983355
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.005, Error, kappa, 0.0004202380404958, theta_a, 0.0000922306703007, theta_b, 0.6463852912125750, sigma, 0.0493824338847880
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.01, Error, kappa, 0.0003983260704992, theta_a, 0.0000921309712091, theta_b, 0.6397809217960291, sigma, 0.0489358051928466
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.02, Error, kappa, 0.0004576455034774, theta_a, 0.0000922988076135, theta_b, 0.6641492097767302, sigma, 0.0479859219998079
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.05, Error, kappa, 0.0009998999965793, theta_a, 0.0000999999994500, theta_b, 0.6475331370053923, sigma, 0.0446174003956164
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.1, Error, kappa, 0.0005041618125938, theta_a, 0.0000924421227071, theta_b, 0.6693146157251847, sigma, 0.0399739177697311
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 0.5, Error, kappa, 0.0014625622418413, theta_a, 0.0000945720663310, theta_b, 0.7058506054479382, sigma, 0.0001307828568182
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 1.0, Error, kappa, 0.0033973792064895, theta_a, 0.0000974787219551, theta_b, 1.1334291495541859, sigma, 0.0487505254880328
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.001, theta_b, 2.0, Error, kappa, 0.0018160695765774, theta_a, 0.0000964697524552, theta_b, 1.2812113731733665, sigma, 0.1510388605333149
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.005, Error, kappa, 0.0004083388294142, theta_a, 0.0009921532762417, theta_b, 0.6458347898866029, sigma, 0.0493746644901573
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.01, Error, kappa, 0.0004045252789591, theta_a, 0.0009921450129147, theta_b, 0.6428339481344768, sigma, 0.0489285591932655
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.02, Error, kappa, 0.0004341150703069, theta_a, 0.0009923439427810, theta_b, 0.6443461961773002, sigma, 0.0479627050087339
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.05, Error, kappa, 0.0004917343968527, theta_a, 0.0009925069845986, theta_b, 0.6627161580273112, sigma, 0.0450325872875250
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.1, Error, kappa, 0.0009998999417797, theta_a, 0.0009995495023098, theta_b, 0.6160766244519176, sigma, 0.0397153348666930
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.5, Error, kappa, 0.0021161311369862, theta_a, 0.0009962132547722, theta_b, 1.0202817980939560, sigma, 0.0000512021635108
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 1.0, Error, kappa, 0.0014850239319083, theta_a, 0.0009938229537638, theta_b, 0.7920964998300930, sigma, 0.0511003729935310
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 2.0, Error, kappa, 0.0052758895591226, theta_a, 0.0009971990707005, theta_b, 0.3566370598264997, sigma, 0.1495168056879293
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.005, Error, kappa, 0.0008767001606342, theta_a, 0.0099504775489936, theta_b, 7.3955639720645223, sigma, 0.0493960219567314
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.01, Error, kappa, 0.0004451870401094, theta_a, 0.0099923003413111, theta_b, 0.6565536189055193, sigma, 0.0489376052027316
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.02, Error, kappa, 0.0003749397495220, theta_a, 0.0099919539546227, theta_b, 0.6360912952372950, sigma, 0.0479597183748033
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.05, Error, kappa, 0.0004038772088477, theta_a, 0.0099922949606690, theta_b, 0.6247775785937162, sigma, 0.0449379410840186
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.1, Error, kappa, 0.0009998999883621, theta_a, 0.0099994711710928, theta_b, 0.6033916975779696, sigma, 0.0397770282148082
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.5, Error, kappa, 0.0008960287148631, theta_a, 0.0099951985958633, theta_b, 0.2857114511632930, sigma, 0.0001254748761235
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 1.0, Error, kappa, 0.0025330728262828, theta_a, 0.0099966640682061, theta_b, 1.5550613777222548, sigma, 0.0500161260656386
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 2.0, Error, kappa, 0.0045764694198528, theta_a, 0.0099979744661544, theta_b, 0.0086834646175375, sigma, 0.1488259323682834
Exact parameters, kappa, 0.01, sigma, 1.0, theta_a, 5e-06, theta_b, 0.005, Error, kappa, 0.0003953033285658, theta_a, 0.0000152096427461, theta_b, 1.3118425272720269, sigma, 0.0990984676708599
Exact parameters, kappa, 0.01, sigma, 1.0, theta_a, 5e-06, theta_b, 0.01, Error, kappa, 0.0004092233762902, theta_a, 0.0000150748442065, theta_b, 1.3185508011033780, sigma, 0.0987596261378440
Exact parameters, kappa, 0.01, sigma, 1.0, theta_a, 5e-06, theta_b, 0.02, Error, kappa, 0.0009998999993962, theta_a, 0.0000004999993715, theta_b, 1.3140580904571819, sigma, 0.0954395463252868
