Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.02, Error, kappa, 0.0009996523805907, theta_a, 0.0307125755887565, theta_b, 0.0020000000000000, sigma, 0.0478733421702111
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.05, Error, kappa, 0.0009994061549829, theta_a, 0.0030848226879246, theta_b, 0.0050000000000000, sigma, 0.0447356042318345
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.1, Error, kappa, 0.0009998946377865, theta_a, 0.0009903721087772, theta_b, 0.0100000000000000, sigma, 0.0395793662302676
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 0.5, Error, kappa, 0.0009998710443265, theta_a, 0.0009836321284012, theta_b, 0.0500000000000000, sigma, 0.0004135484890812
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 1.0, Error, kappa, 0.0027866256747578, theta_a, 0.0009748253050597, theta_b, 0.1000000000000000, sigma, 0.0582452881734060
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.01, theta_b, 2.0, Error, kappa, 0.0009997301029488, theta_a, 0.0414895396038493, theta_b, 0.2000000000000000, sigma, 0.1502404774128769
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.005, Error, kappa, 0.0009996465246266, theta_a, 0.0219304181632254, theta_b, 0.0005000000000000, sigma, 0.0491640818380855
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.01, Error, kappa, 0.0009996465055014, theta_a, 0.0220880536948324, theta_b, 0.0010000000000000, sigma, 0.0488002170674214
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.02, Error, kappa, 0.0009996487945578, theta_a, 0.0212575163594646, theta_b, 0.0020000000000000, sigma, 0.0478817977718259
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.05, Error, kappa, 0.0009996483364606, theta_a, 0.0218399019510418, theta_b, 0.0050000000000000, sigma, 0.0449426371699152
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.1, Error, kappa, 0.0009998999981568, theta_a, 0.0099999829609542, theta_b, 0.0100000000000000, sigma, 0.0397158187138988
Exact parameters, kappa, 0.01, sigma, 0.5, theta_a, 0.1, theta_b, 0.5, Error, kappa, 0.0009997630904474, theta_a, 0.0189283804021780, theta_b, 0.0500000000000000, sigma, 0.0000332968385375
