,kappa,theta_a,theta_b,sigma,error_kappa,error_theta_a,error_theta_b,error_sigma
216,0.05,0.0005,0.005,0.5,15.08226,99.02682,100.00000,0.96728
217,0.05,0.0005,0.01,0.5,42.19924,99.99999,29.59024,0.23991
218,0.05,0.0005,0.02,0.5,71.01029,100.00000,2054.88316,0.30791
219,0.05,0.0005,0.05,0.5,111.09885,100.00000,712.50585,0.11443
220,0.05,0.0005,0.1,0.5,154.53664,100.00000,286.50980,1.39374
221,0.05,0.0005,0.5,0.5,111.84892,99.23308,87.22906,0.40456
222,0.05,0.001,0.005,0.5,7.15440,100.00000,38817.73952,0.11983
223,0.05,0.001,0.01,0.5,45.58207,100.00000,100.00000,0.35550
224,0.05,0.001,0.02,0.5,29.81986,99.65257,100.00000,0.93841
225,0.05,0.001,0.05,0.5,69.77661,99.90850,4229.11682,0.21543
226,0.05,0.001,0.1,0.5,99.99730,99.02886,100.00000,0.41048
227,0.05,0.001,0.5,0.5,99.27747,100.00000,100.00000,0.26512
228,0.05,0.01,0.005,0.5,55.54506,99.96683,12660.72918,0.60776
229,0.05,0.01,0.01,0.5,19.04738,99.98427,100.00000,0.56753
230,0.05,0.01,0.02,0.5,37.12022,100.00000,3807.42685,0.35619
231,0.05,0.01,0.05,0.5,34.29808,99.97584,100.00000,1.24036
232,0.05,0.01,0.1,0.5,102.60376,100.00000,712.54084,1.01394
233,0.05,0.01,0.5,0.5,190.43512,99.98010,182.93976,0.43573
234,0.05,0.1,0.005,0.5,3.52231,99.98554,70194.63015,0.09886
235,0.05,0.1,0.01,0.5,65.46030,99.99232,32287.82183,1.59332
236,0.05,0.1,0.02,0.5,34.46437,99.99037,14868.79250,0.19678
237,0.05,0.1,0.05,0.5,37.30512,99.97391,7379.50876,0.49946
238,0.05,0.1,0.1,0.5,59.19018,99.99154,3145.06650,0.60355
239,0.05,0.1,0.5,0.5,278.91712,99.98886,320.88648,0.02945
240,0.05,1e-06,0.005,2.0,41.99764,100.00000,100.00000,1.09356
241,0.05,1e-06,0.01,2.0,118.74579,99.99999,100.00000,0.22314
242,0.05,1e-06,0.02,2.0,125.54171,22.09786,5082.82801,0.05554
243,0.05,1e-06,0.05,2.0,2.70888,989.31812,100.00000,0.46862
244,0.05,1e-06,0.1,2.0,4.72950,100.00000,100.00000,0.11257
245,0.05,1e-06,0.5,2.0,97.34796,99.99996,100.00000,1.21072
246,0.05,1e-05,0.005,2.0,11.19732,40.68724,100.00000,0.58931
247,0.05,1e-05,0.01,2.0,99.99595,928.86020,30073.80928,1.31983
248,0.05,1e-05,0.02,2.0,12.54950,57.00130,100.00000,0.36166
249,0.05,1e-05,0.05,2.0,67.99779,100.00000,100.00000,0.70600
250,0.05,1e-05,0.1,2.0,30.59329,107.24036,100.00000,0.78966
251,0.05,1e-05,0.5,2.0,16.36858,33.06109,284.59320,0.88412
252,0.05,5e-05,0.005,2.0,135.77330,100.00000,100.00000,0.02115
253,0.05,5e-05,0.01,2.0,78.36237,100.00000,100.00000,0.11917
254,0.05,5e-05,0.02,2.0,205.34887,92.18559,8360.45919,1.17613
255,0.05,5e-05,0.05,2.0,29.42823,72.51839,1145.27874,1.28495
256,0.05,5e-05,0.1,2.0,62.31493,100.00000,3945.39170,0.94183
257,0.05,5e-05,0.5,2.0,0.22099,99.99993,301.00832,0.82266
258,0.05,0.0001,0.005,2.0,85.68461,88.74278,38294.01210,0.50104
259,0.05,0.0001,0.01,2.0,162.42047,100.00000,44282.83411,0.25111
260,0.05,0.0001,0.02,2.0,22.89603,100.00000,100.00000,1.24843
261,0.05,0.0001,0.05,2.0,5.07234,100.00000,100.00000,0.81504
262,0.05,0.0001,0.1,2.0,12.37106,84.85547,100.00000,0.35435
263,0.05,0.0001,0.5,2.0,124.52720,89.35709,668.88954,0.34487
264,0.05,0.0005,0.005,2.0,66.44409,100.00000,100.00000,1.12458
265,0.05,0.0005,0.01,2.0,159.58473,100.00000,1636.28907,1.33894
266,0.05,0.0005,0.02,2.0,115.53983,97.66004,4942.95518,0.43507
267,0.05,0.0005,0.05,2.0,128.03700,100.00000,7907.88683,0.99204
268,0.05,0.0005,0.1,2.0,245.88140,99.28988,2075.67229,1.71814
269,0.05,0.0005,0.5,2.0,195.90464,96.66128,100.00000,0.50640
270,0.05,0.001,0.005,2.0,256.54103,99.39782,41363.54022,0.26338
271,0.05,0.001,0.01,2.0,14.14902,100.00000,100.00000,0.07011
272,0.05,0.001,0.02,2.0,62.56272,97.79168,100.00000,0.73484
273,0.05,0.001,0.05,2.0,154.19658,100.00000,100.00000,0.18471
274,0.05,0.001,0.1,2.0,99.99800,88.86844,100.00000,0.44579
275,0.05,0.001,0.5,2.0,123.60485,99.84609,100.00000,0.04770
276,0.05,0.01,0.005,2.0,99.99490,99.17742,8111.20191,1.02358
277,0.05,0.01,0.01,2.0,13.13898,99.93337,100.00000,0.41646
278,0.05,0.01,0.02,2.0,3.31801,100.00000,100.00000,0.42465
279,0.05,0.01,0.05,2.0,41.46821,99.86632,100.00000,0.00030
280,0.05,0.01,0.1,2.0,754.12998,99.99511,350.11093,0.25028
281,0.05,0.01,0.5,2.0,185.79927,100.00000,30.92127,0.01142
282,0.05,0.1,0.005,2.0,449.90582,99.99955,145132.43915,0.03491
283,0.05,0.1,0.01,2.0,90.29810,100.00000,80980.19842,0.16603
284,0.05,0.1,0.02,2.0,182.22008,99.99769,33070.65395,0.23995
285,0.05,0.1,0.05,2.0,29.37409,99.98634,10306.06124,0.69737
286,0.05,0.1,0.1,2.0,20.47895,99.99715,4090.45068,1.31455
287,0.05,0.1,0.5,2.0,2.18983,99.96018,592.29902,0.20880
288,0.1,1e-06,0.005,0.5,40.06372,70.53846,2490.10113,0.75954
289,0.1,1e-06,0.01,0.5,45.20940,100.00000,100.00000,1.92436
290,0.1,1e-06,0.02,0.5,40.35164,6.05331,5129.60438,0.62304
291,0.1,1e-06,0.05,0.5,131.04380,100.00000,100.00000,0.28956
292,0.1,1e-06,0.1,0.5,6.11515,100.00000,16.08341,0.35905
293,0.1,1e-06,0.5,0.5,149.79908,47.55272,70.29036,0.36767
294,0.1,1e-05,0.005,0.5,112.09893,100.00000,1946.21707,0.35915
295,0.1,1e-05,0.01,0.5,24.56700,84.99319,100.00000,0.78588
296,0.1,1e-05,0.02,0.5,17.51182,100.00000,100.00000,0.09292
297,0.1,1e-05,0.05,0.5,11.30492,99.99922,540.23348,0.89972
298,0.1,1e-05,0.1,0.5,65.24377,89.77559,529.12488,0.67815
299,0.1,1e-05,0.5,0.5,48.92520,30.40719,22.25825,1.04987
300,0.1,5e-05,0.005,0.5,31.91666,100.00000,12972.01947,1.06195
301,0.1,5e-05,0.01,0.5,50.56986,100.00000,100.00000,0.16825
302,0.1,5e-05,0.02,0.5,37.28498,98.26310,100.00000,0.21826
303,0.1,5e-05,0.05,0.5,22.11242,100.00000,100.00000,0.21280
304,0.1,5e-05,0.1,0.5,180.78573,100.00000,100.00000,1.19510
305,0.1,5e-05,0.5,0.5,31.97447,100.00000,36.67648,0.04632
306,0.1,0.0001,0.005,0.5,12.07582,97.33681,7227.85884,1.54155
307,0.1,0.0001,0.01,0.5,35.37441,100.00000,100.00000,0.23208
308,0.1,0.0001,0.02,0.5,122.82962,97.53401,4293.38778,0.18345
309,0.1,0.0001,0.05,0.5,30.95985,99.99999,69.62904,0.85690
310,0.1,0.0001,0.1,0.5,10.67613,100.00000,100.00000,0.36343
311,0.1,0.0001,0.5,0.5,27.53295,97.32012,40.61363,0.20162
312,0.1,0.0005,0.005,0.5,16.19627,99.68150,100.00000,0.72095
313,0.1,0.0005,0.01,0.5,31.62345,99.86749,73.34448,0.91074
314,0.1,0.0005,0.02,0.5,2.43441,99.65108,100.00000,0.07663
315,0.1,0.0005,0.05,0.5,96.11030,100.00000,368.17053,0.51700
316,0.1,0.0005,0.1,0.5,13.82270,100.00000,38.87469,0.36493
317,0.1,0.0005,0.5,0.5,67.61023,99.92315,25.53857,1.03953
318,0.1,0.001,0.005,0.5,131.72716,99.98541,9679.24212,0.09703
319,0.1,0.001,0.01,0.5,1.39380,100.00000,100.00000,0.01794
320,0.1,0.001,0.02,0.5,45.29046,99.74407,2703.15493,0.48831
321,0.1,0.001,0.05,0.5,119.65124,99.96215,781.25889,0.04211
322,0.1,0.001,0.1,0.5,102.04621,100.00000,100.00000,0.70217
323,0.1,0.001,0.5,0.5,1.68071,100.00000,51.44635,0.19464
324,0.1,0.01,0.005,0.5,84.41101,99.98174,8307.12033,1.47874
325,0.1,0.01,0.01,0.5,75.17415,100.00000,10088.12760,0.35806
326,0.1,0.01,0.02,0.5,3.67229,100.00000,4506.13623,0.11845
327,0.1,0.01,0.05,0.5,101.05721,99.98583,1595.57701,0.86942
328,0.1,0.01,0.1,0.5,32.96973,99.98073,93.96378,0.51862
329,0.1,0.01,0.5,0.5,98.37856,99.94724,22.94785,0.24784
330,0.1,0.1,0.005,0.5,52.01231,99.98442,88930.43585,0.09224
331,0.1,0.1,0.01,0.5,63.48150,99.98244,45084.90031,0.85857
